standard,gaap_tag,statement
Net Income,NetIncomeLoss,cash_flow
Net Income,ProfitLoss,cash_flow
Net Income,NetIncomeLossAvailableToCommonStockholdersBasic,cash_flow
Net Income,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,cash_flow
Net Income,IncomeLossFromContinuingOperations,cash_flow
Net Income,NetIncome,cash_flow
Net Income,ProfitLossAttributableToParent,cash_flow
Net Income,ProfitLossExcludingNoncontrollingInterestsAssociatedWithDiscontinuedOperations,cash_flow
Net Income,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,cash_flow
Net Income,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,cash_flow
Net Income,NetIncomeLossIncludingPortionAttributableToNoncontrollingInterest,cash_flow
Net Income,ProfitLossIncludingRedeemableAndNoncontrollingInterests,cash_flow
Net Income,Netincomelossincludingredeemableandnoncontrollinginterest,cash_flow
Net Income,NetIncomeLossIncludingRedeemableAndNoncontrollingInterest,cash_flow
,,
,,
,,
Net Income,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,cash_flow
