standard,gaap_tag,statement
Revenue,RevenueFromContractWithCustomerExcludingAssessedTax,income
Revenue,RevenueFromContractWithCustomerIncludingAssessedTax,income
Revenue,Revenues,income
Revenue,RevenuesNetOfInterestExpense,income
Revenue,NetRevenues,income
Revenue,RevenuesNet,income
Revenue,NetRevenue,income
Revenue,RevenuesOperatingAndNonoperating,income
Revenue,RevenuesAndOtherIncome,income
Revenue,TotalRevenuesAndOtherIncome,income
Revenue,RevenuesExcludingInterestAndDividends,income
Revenue,TotalRevenuesIncludingRevenueGeneratedByVariableInterestEntities,income
Revenue,RevenuesExcludingCorporate,income
,,
,,
,,
,,
,,
,,
,,
,,
,,
Revenue,SalesRevenueGoodsGross,income
Revenue,SalesRevenueGoodsNetExcludingExciseAndSalesTaxes,income
Revenue,SalesRevenueNetOfExciseTaxes,income
Revenue,SalesRevenueNetPercent,income
Revenue,SalesRevenueGoodsNet,income
Revenue,SalesRevenueNet,income
Revenue,SalesRevenueServicesGross,income
Revenue,SalesRevenueServicesNet,income
Revenue,InvestmentAdvisoryManagementAndAdministrativeFees,income
Revenue,GrossProfit,income
Revenue,HealthCareOrganizationRevenue,income
Revenue,FinancialServicesRevenue,income
Revenue,HealthCareOrganizationPatientServiceRevenueLessProvisionForBadDebts,income
Revenue,HomeBuildingRevenue,income
Revenue,RevenueMineralSales,income
Revenue,RefiningAndMarketingRevenue,income
Revenue,HealthCareOrganizationPatientServiceRevenue,income
Revenue,OperatingLeasesIncomeStatementLeaseRevenue,income
Revenue,FoodAndBeverageRevenue,income
Revenue,OilAndGasRevenue,income
Revenue,RevenueFromContractWithCustomerAndOtherOperatingRevenuesExcludingAssessedTax,income
Revenue,RealEstateRevenueNet,income
Revenue,ElectricUtilityRevenue,income
Revenue,CostOfGoodsSold,income
Revenue,SegmentReportingInformationRevenue,income
Revenue,RegulatedAndUnregulatedOperatingRevenue,income
Revenue,ElectricalGenerationRevenue,income
Revenue,PremiumAndServiceRevenues,income
Revenue,ElectricalTransmissionAndDistributionRevenue,income
Revenue,UtilityRevenue,income
Revenue,SalesRevenueEnergyServices,income
Revenue,CargoAndFreightRevenueAndRegulatedAndUnregulatedOperatingRevenue,income
Revenue,ElectricDomesticRegulatedRevenue,income
Revenue,TotalOperatingRevenue,income
Revenue,RegulatedOperatingRevenue,income
Revenue,AssetManagementFees1,income
Revenue,InsuranceAgencyManagementFee,income
Revenue,OtherSalesRevenueNet,income
Revenue,RevenueOtherFinancialServices,income
Revenue,OtherIncome,income
Revenue,NoninterestIncomeOtherOperatingIncome,income
Revenue,HealthCareOrganizationOtherRevenue,income
Revenue,OtherHotelOperatingRevenue,income
Revenue,RegulatedOperatingRevenueOther,income
Revenue,ServiceFees,income
Revenue,NonInsuranceServiceRevenues,income
Revenue,JointVentureManagmentAndOtherFees,income
Revenue,ManagementFeesRevenue,income
Revenue,ServicesAndOther,income
Revenue,ServicesandOtherGrossProfit,income
Revenue,SalesRevenueServicesandOtherNet,income
Revenue,CostofServicesandOther,income
Revenue,CostOfServices,income
Revenue,ServicesGrossProfit,income
Revenue,CostOfGoodsAndServicesSold,income
Revenue,ManagementFeesRevenueAndOtherIncome,income
Revenue,InsuranceServicesRevenue,income
Revenue,OperatingRevenue,income
Revenue,HealthCareOrganizationResidentServiceRevenue,income
Revenue,OtherRealEstateRevenue,income
Revenue,SiteDevelopment,income
Revenue,TrustInvestmentAndOtherServicingFees,income
Revenue,SalesAndOtherOperatingRevenueIncludingSalesBasedTaxes,income
Revenue,TechnologyServicesRevenue,income
Revenue,TechnologyServicesCosts,income
Revenue,SalesRevenuesServicesNet,income
Revenue,ServicesExpense,income
Revenue,SalesRevenueServicesNet1,income
Revenue,ExplorationAndProductionRevenue,income
Revenue,OilAndGasSalesRevenue,income
Revenue,FeesAndCommissionsDepositorAccounts,income
Revenue,ServiceManagementCosts,income
Revenue,FeeAndAssetManagementExpenses,income
Revenue,TenantReimbursements,income
Revenue,DirectCostsOfHotels,income
Revenue,OperatingExpenses,income
Revenue,EarningsPerShareBasic,income
Revenue,EarningsPerShareDiluted,income
Revenue,NoninterestExpense,income
Revenue,BenefitsLossesAndExpenses,income
Revenue,CostsAndExpenses,income
Revenue,InterestExpense,income
Revenue,NonoperatingIncomeExpense,income
Revenue,OperatingIncomeLoss,income
Revenue,CostOfRevenue,income
Revenue,CostsAndExpensesIncludingInterest,income
Revenue,ProfitLoss,income
Revenue,NetIncomeLoss,income
Revenue,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,income
Revenue,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,income
Revenue,IncomeTaxExpenseBenefit,income
Revenue,OperatingExpensesWithWriteOffOfInProcessResearchAndDevelopment,income
Revenue,RealizedInvestmentGainsLosses,income
Revenue,GrossRevenue,income
Revenue,HotelAndCasinoRevenueGross,income
Revenue,HardwareSystemsRevenues,income
Revenue,InterestAndDebtExpense,income
Revenue,InterestExpenseAggregateExpenses,income
Revenue,InterestIncomeExpenseNet,income
Revenue,InterestExpenseDebt,income
Revenue,InterestIncomeExpenseNonoperatingNet,income
Revenue,InterestExpenseExcludingRelatedParty,income
Revenue,InvestmentIncomeInvestmentExpense,income
Revenue,InterestExpenseIS,income
Revenue,InterestExpenseOperating,income
Revenue,InterestIncomeExpensesNet,income
Revenue,InterestExpenseBorrowings,income
Revenue,InterestExpenses,income
Revenue,InterestRevenueExpenseNet,income
Revenue,InterestExpenseReversal,income
Revenue,CashInterestExpense,income
Revenue,FeesAndCommissionsMortgageBanking,income
Revenue,FeesAndCommissionsMortgageBankingAndServicing,income
Revenue,OperatingLeasesIncomeStatementLeaseRevenueAndOtherRealEstateRevenue,income
Revenue,ComprehensiveIncomeNetOfTax,income
Revenue,WeightedAverageNumberOfDilutedSharesOutstanding,income
Revenue,RevenueFromRelatedParties,income
Revenue,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,income
Revenue,CommonStockDividendsPerShareCashPaid,income
Revenue,EffectiveIncomeTaxRateContinuingOperations,income
Revenue,RetainedEarningsAccumulatedDeficit,income
Revenue,NoninterestIncome,income
Revenue,CommonStockDividendsPerShareDeclaredAndPaid,income
Revenue,CommonStockDividendsPerShareDeclared,income
Revenue,IncomeLossFromContinuingOperationsPerDilutedShare,income
Revenue,GainsLossesOnExtinguishmentOfDebt,income
Revenue,TangibleProductRevenues,income
Revenue,SystemSalesRevenue,income
Revenue,CostOfServicesLicensesAndMaintenanceAgreements,income
Revenue,SalesRevenueProductsNet,income
Revenue,ProductGrossProfit,income
Revenue,SalesRevenueProductNet,income
Revenue,CostOfRevenueProduct,income
Revenue,Productrevenue,income
Revenue,CostofProductRevenue,income
Revenue,ProductRevenue,income
Revenue,HardwareExpenses,income
Revenue,HardwareRevenues,income
Revenue,SalesbyCompanyoperatedrestaurants,income
Revenue,HardwareSystemsProductsCost,income
Revenue,HardwareSystemsProductsRevenues,income
