standard,gaap_tag,statement
Weighted Avg. Diluted Shares Out.,WeightedAverageNumberOfDilutedSharesOutstanding,income
Weighted Avg. Diluted Shares Out.,DilutedWeightedAverageSharesOutstanding,income
Weighted Avg. Diluted Shares Out.,ProFormaWeightedAverageSharesOutstandingDiluted,income
Weighted Avg. Diluted Shares Out.,WeightedAverageCommonUnitsOutstandingDiluted,income
Weighted Avg. Diluted Shares Out.,DilutedWeightedAverageNumberOfSharesForPeriodUsedInPerShareCalculation,income
Weighted Avg. Diluted Shares Out.,WeightedAverageNumberDilutedSharesOutstandingAdjustment,income
Weighted Avg. Diluted Shares Out.,WeightedAverageNumberOfDilutedSharesCommonStock,income
Weighted Avg. Diluted Shares Out.,WeightedAverageNumberBasicDilutedSharesOutstanding,income
,,
,,
,,
,,
,,
,,
,,
Weighted Avg. Diluted Shares Out.,WeightedAverageNumberOfSharesOutstandingBasic,income
Weighted Avg. Diluted Shares Out.,ComprehensiveIncomeNetOfTax,income
Weighted Avg. Diluted Shares Out.,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,income
Weighted Avg. Diluted Shares Out.,RevenueFromRelatedParties,income
Weighted Avg. Diluted Shares Out.,CostOfGoodsAndServicesSold,income
Weighted Avg. Diluted Shares Out.,EffectiveIncomeTaxRateContinuingOperations,income
Weighted Avg. Diluted Shares Out.,NoninterestIncome,income
Weighted Avg. Diluted Shares Out.,RetainedEarningsAccumulatedDeficit,income
Weighted Avg. Diluted Shares Out.,CommonStockDividendsPerShareDeclaredAndPaid,income
Weighted Avg. Diluted Shares Out.,Revenues,income
Weighted Avg. Diluted Shares Out.,CommonStockDividendsPerShareDeclared,income
Weighted Avg. Diluted Shares Out.,GainsLossesOnExtinguishmentOfDebt,income
Weighted Avg. Diluted Shares Out.,CostOfGoodsSold,income
Weighted Avg. Diluted Shares Out.,CostOfRevenue,income
Weighted Avg. Diluted Shares Out.,SellingAndMarketingExpense,income
Weighted Avg. Diluted Shares Out.,TechnologyAndContentExpense,income
Weighted Avg. Diluted Shares Out.,TechnologyandContentExpense,income
Weighted Avg. Diluted Shares Out.,GeneralAndAdministrativeExpense,income
Weighted Avg. Diluted Shares Out.,SellingGeneralAndAdministrativeExpense,income
Weighted Avg. Diluted Shares Out.,OtherGeneralAndAdministrativeExpense,income
Weighted Avg. Diluted Shares Out.,EarningsPerShareDiluted,income
Weighted Avg. Diluted Shares Out.,IncomeLossFromContinuingOperationsPerDilutedShare,income
Weighted Avg. Diluted Shares Out.,NetIncomeLossAvailableToCommonStockholdersDiluted,income
Weighted Avg. Diluted Shares Out.,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,income
Weighted Avg. Diluted Shares Out.,IncomeLossFromExtraordinaryItemsNetOfTaxPerDilutedShare,income
Weighted Avg. Diluted Shares Out.,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciplePerDilutedShare,income
Weighted Avg. Diluted Shares Out.,CommonStockDividendsPerShareCashPaid,income
Weighted Avg. Diluted Shares Out.,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,income
Weighted Avg. Diluted Shares Out.,Diluted,income
Weighted Avg. Diluted Shares Out.,DilutedEarningsPerShareProForma,income
