standard,gaap_tag,statement
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerBasicShare,income
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,income
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerOutstandingUnitBasic,income
Basic EPS Excl. Extra Items,EarningsPerShareContinuingOperationsBasicAndDiluted,income
Basic EPS Excl. Extra Items,EarningsPerShareBasic,income
Basic EPS Excl. Extra Items,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,income
Basic EPS Excl. Extra Items,Basic,income
Basic EPS Excl. Extra Items,BasicInDollarsPerShare,income
Basic EPS Excl. Extra Items,WeightedAverageNumberOfSharesOutstandingBasic,income
Basic EPS Excl. Extra Items,BasicEarningsPerShareProForma,income
Basic EPS Excl. Extra Items,NetIncomeLossAvailableToCommonStockholdersBasic,income
Basic EPS Excl. Extra Items,EarningsPerShareBasicAndDiluted,income
Basic EPS Excl. Extra Items,EarningsPerShareBasicincludingPortionattributabletononcontrolinginterest,income
Basic EPS Excl. Extra Items,IncomeAvailableToCommonStockholdersBasic,income
Basic EPS Excl. Extra Items,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciplePerBasicShare,income
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitBasicNetOfTax,income
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Basic EPS Excl. Extra Items,IncomeBeforeDiscontinuedOperationsAvailableToCommonStockholdersDiluted,income
Basic EPS Excl. Extra Items,WeightedAverageBasicSharesOutstandingProForma,income
Basic EPS Excl. Extra Items,ProfitLoss,income
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperationsAfterIncomeTaxes,income
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperation,income
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerOutstandingUnitDiluted,income
Basic EPS Excl. Extra Items,DilutedEarningsPerShareFromContinuingOperationsProForma,income
Basic EPS Excl. Extra Items,WeightedAverageCommonUnitsOutstandingBasic,income
Basic EPS Excl. Extra Items,BasicWeightedAverageNumberOfSharesOutstanding,income
Basic EPS Excl. Extra Items,IncomeLossFromExtraordinaryItemsNetOfTaxPerBasicShare,income
Basic EPS Excl. Extra Items,WeightedAverageNumberOfSharesIssuedBasic,income
Basic EPS Excl. Extra Items,EarningsPerShareDilutedincludingportionattributabletononcontrollinginterest,income
Basic EPS Excl. Extra Items,IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges,income
Basic EPS Excl. Extra Items,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciplePerDilutedShare,income
Basic EPS Excl. Extra Items,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,income
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,income
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperations,income
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerDilutedShare,income
Basic EPS Excl. Extra Items,OperatingIncomeLoss,income
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeDiscontinuedOperations,income
Basic EPS Excl. Extra Items,IncomeFromContinuingOperations,income
Basic EPS Excl. Extra Items,IncomeLossBeforeDiscontinuedOperations,income
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,income
Basic EPS Excl. Extra Items,NetIncomeLoss,income
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnit,income
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitDiluted,income
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperationsNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,income
Basic EPS Excl. Extra Items,IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,income
Basic EPS Excl. Extra Items,EarningsPerShareDiluted,income
Basic EPS Excl. Extra Items,NetIncomeLossRelatingToComprehensiveIncome,income
Basic EPS Excl. Extra Items,IncomeLossIncludingPortionAttributableToNoncontrollingInterest,income
Basic EPS Excl. Extra Items,NetIncomeLossAvailableToCommonStockholdersDiluted,income
Basic EPS Excl. Extra Items,NumberOfSharesOutstandingBasic,income
Basic EPS Excl. Extra Items,NetIncomeLossConsolidatedProfit,income
Basic EPS Excl. Extra Items,NetIncome,income
Basic EPS Excl. Extra Items,ProfitLossExcludingNoncontrollingInterestsAssociatedWithDiscontinuedOperations,income
