standard,gaap_tag,statement
,None,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
NI to Common Incl Extra Items,NetIncomeLossAvailableToCommonStockholdersBasic,income
NI to Common Incl Extra Items,NetIncomeLoss,income
NI to Common Incl Extra Items,EarningsPerShareBasic,income
NI to Common Incl Extra Items,EarningsPerShareDiluted,income
NI to Common Incl Extra Items,NetIncomeLossAvailableToCommonStockholders,income
NI to Common Incl Extra Items,NetIncomeLossAttributableToCommonStockholders,income
NI to Common Incl Extra Items,ProfitLoss,income
NI to Common Incl Extra Items,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,income
NI to Common Incl Extra Items,EarningsPerShareBasicAndDiluted,income
NI to Common Incl Extra Items,IncomeLossFromContinuingOperations,income
NI to Common Incl Extra Items,IncomeLossFromContinuingOperationsPerBasicShare,income
NI to Common Incl Extra Items,IncomeLossFromContinuingOperationsPerDilutedShare,income
NI to Common Incl Extra Items,NetIncomeLossRelatingToComprehensiveIncome,income
NI to Common Incl Extra Items,NetIncomeLossConsolidatedProfit,income
NI to Common Incl Extra Items,NetIncome,income
NI to Common Incl Extra Items,ProfitLossExcludingNoncontrollingInterestsAssociatedWithDiscontinuedOperations,income
NI to Common Incl Extra Items,IncomeLossIncludingPortionAttributableToNoncontrollingInterest,income
NI to Common Incl Extra Items,EarningsPerShareBasicincludingPortionattributabletononcontrolinginterest,income
NI to Common Incl Extra Items,EarningsPerShareDilutedincludingportionattributabletononcontrollinginterest,income
NI to Common Incl Extra Items,IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges,income
NI to Common Incl Extra Items,NetIncomeLossAttributabletoParentPercent,income
NI to Common Incl Extra Items,ProfitLossPercent,income
NI to Common Incl Extra Items,ProfitLossAdjusted,income
NI to Common Incl Extra Items,NetIncomeLossAllocatedToCommonStockholders,income
NI to Common Incl Extra Items,NetIncomeLossAvailableToCommonStockholdersDiluted,income
NI to Common Incl Extra Items,WeightedAverageNumberOfSharesOutstandingBasic,income
NI to Common Incl Extra Items,WeightedAverageBasicSharesOutstandingProForma,income
NI to Common Incl Extra Items,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,income
NI to Common Incl Extra Items,WeightedAverageCommonUnitsOutstandingBasic,income
NI to Common Incl Extra Items,BasicWeightedAverageNumberOfSharesOutstanding,income
NI to Common Incl Extra Items,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciplePerBasicShare,income
NI to Common Incl Extra Items,IncomeLossFromExtraordinaryItemsNetOfTaxPerBasicShare,income
NI to Common Incl Extra Items,WeightedAverageNumberOfSharesIssuedBasic,income
NI to Common Incl Extra Items,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,income
NI to Common Incl Extra Items,NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic,income
NI to Common Incl Extra Items,NetIncomeLossAvailableToCommonStockholdersBasicAndVestedOptionsDeemedParticipatingSecurities,income
NI to Common Incl Extra Items,NetIncomeAttributableToCommonShares,income
NI to Common Incl Extra Items,NetIncomeLossAttributableToNoncontrollingInterest,income
NI to Common Incl Extra Items,NetIncomeLossAttributableToCommonStockholdersBasicAndDiluted,income
NI to Common Incl Extra Items,CommonShareholders,income
NI to Common Incl Extra Items,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,income
NI to Common Incl Extra Items,NetIncomeLossFromContinuingOperationsAvailableToCommonStockholdersBasic,income
NI to Common Incl Extra Items,NetIncomeAvailabletoCompanyShareholders,income
