standard,gaap_tag,statement
Earnings from Cont. Ops.,NetIncomeLoss,income
Earnings from Cont. Ops.,IncomeLossFromContinuingOperations,income
Earnings from Cont. Ops.,ProfitLoss,income
Earnings from Cont. Ops.,EarningsPerShareBasic,income
Earnings from Cont. Ops.,EarningsPerShareDiluted,income
Earnings from Cont. Ops.,NetIncomeLossAvailableToCommonStockholdersBasic,income
Earnings from Cont. Ops.,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,income
Earnings from Cont. Ops.,EarningsPerShareBasicAndDiluted,income
Earnings from Cont. Ops.,IncomeLossFromContinuingOperationsPerBasicShare,income
Earnings from Cont. Ops.,IncomeLossFromContinuingOperationsPerDilutedShare,income
Earnings from Cont. Ops.,NetIncomeLossRelatingToComprehensiveIncome,income
Earnings from Cont. Ops.,NetIncomeLossConsolidatedProfit,income
Earnings from Cont. Ops.,NetIncome,income
Earnings from Cont. Ops.,ProfitLossExcludingNoncontrollingInterestsAssociatedWithDiscontinuedOperations,income
Earnings from Cont. Ops.,IncomeLossIncludingPortionAttributableToNoncontrollingInterest,income
Earnings from Cont. Ops.,EarningsPerShareBasicincludingPortionattributabletononcontrolinginterest,income
Earnings from Cont. Ops.,EarningsPerShareDilutedincludingportionattributabletononcontrollinginterest,income
Earnings from Cont. Ops.,IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges,income
Earnings from Cont. Ops.,NetIncomeLossAvailableToCommonStockholdersDiluted,income
Earnings from Cont. Ops.,NetIncomeLossAttributabletoParentPercent,income
Earnings from Cont. Ops.,ProfitLossPercent,income
Earnings from Cont. Ops.,ProfitLossAdjusted,income
Earnings from Cont. Ops.,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,income
Earnings from Cont. Ops.,NetIncomeLossAvailableToCommonStockholders,income
Earnings from Cont. Ops.,NetIncomeLossAttributableToCommonStockholders,income
Earnings from Cont. Ops.,NetIncomeAvailabletoCompanyShareholders,income
