standard,gaap_tag,statement
Interest Expense,InterestExpense,income
Interest Expense,InterestAndDebtExpense,income
Interest Expense,InterestIncomeExpenseNet,income
Interest Expense,InterestIncomeExpenseNonoperatingNet,income
Interest Expense,NetInterestIncomeExpense,income
Interest Expense,InterestNet,income
Interest Expense,InterestIncomeNet,income
Interest Expense,InterestExpenseAggregateExpenses,income
Interest Expense,InterestExpenseDebt,income
Interest Expense,InterestExpenseExcludingRelatedParty,income
Interest Expense,InvestmentIncomeInvestmentExpense,income
Interest Expense,InterestExpenseIS,income
Interest Expense,InterestExpenseOperating,income
Interest Expense,InterestIncomeExpensesNet,income
Interest Expense,InterestExpenseBorrowings,income
Interest Expense,InterestExpenses,income
Interest Expense,InterestRevenueExpenseNet,income
Interest Expense,InterestExpenseReversal,income
Interest Expense,CashInterestExpense,income
Interest Expense,Revenues,income
Interest Expense,InterestIncomeOperating,income
Interest Expense,InvestmentIncomeInterestAndDividend,income
Interest Expense,InterestExpenseIncludingAccretion,income
Interest Expense,InterestExpenseNet,income
Interest Expense,InterestExpenseIncomeNet,income
Interest Expense,InterestExpenseOther,income
Interest Expense,InterestAndDividendIncomeOperating,income
Interest Expense,InterestCostsIncurred,income
Interest Expense,InterestExpenseLongTermDebt,income
Interest Expense,InterestExpenseNetOfCapitalizedInterest,income
Interest Expense,AutomotiveInterestExpense,income
Interest Expense,SalesRevenueNet,income
Interest Expense,CostOfGoodsAndServicesSold,income
Interest Expense,OperatingExpenses,income
Interest Expense,EarningsPerShareDiluted,income
Interest Expense,NoninterestExpense,income
Interest Expense,EarningsPerShareBasic,income
Interest Expense,BenefitsLossesAndExpenses,income
Interest Expense,CostsAndExpenses,income
Interest Expense,NonoperatingIncomeExpense,income
Interest Expense,UtilityRevenue,income
Interest Expense,OperatingIncomeLoss,income
Interest Expense,CostOfRevenue,income
Interest Expense,CostsAndExpensesIncludingInterest,income
Interest Expense,ProfitLoss,income
Interest Expense,NetIncomeLoss,income
Interest Expense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,income
Interest Expense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,income
Interest Expense,IncomeTaxExpenseBenefit,income
Interest Expense,OperatingExpensesWithWriteOffOfInProcessResearchAndDevelopment,income
Interest Expense,RealizedInvestmentGainsLosses,income
Interest Expense,NetInterestExpense,income
Interest Expense,InterestAndOtherBorrowingExpense,income
Interest Expense,InterestExpensePercent,income
Interest Expense,TotalNonoperatingInterestAndOtherIncomeExpense,income
Interest Expense,InterestIncomeInterestExpenseNet,income
Interest Expense,ExternalInterestExpenseIncome,income
Interest Expense,OtherNonoperatingExpense,income
Interest Expense,AmortizationOfFinancingCosts,income
Interest Expense,FinancingCostsNet,income
Interest Expense,InterestIncomeExpenseAfterProvisionForLoanLoss,income
Interest Expense,InterestAndDebtExpenseChargedAgainstEarnings,income
Interest Expense,InterestAndOtherFinancialCharges,income
Interest Expense,InvestmentIncomeNonoperating,income
Interest Expense,DebtExpense,income
Interest Expense,InterestandOtherExpense,income
Interest Expense,InterestAndOtherExpense,income
Interest Expense,OtherNonoperatingIncomeExpense,income
Interest Expense,InterestAndOtherExpenseNet,income
Interest Expense,InterestAndOtherIncomeExpenseNet,income
Interest Expense,OtherExpenses,income
