standard,gaap_tag,statement
Selling and Marketing Exp.,SellingGeneralAndAdministrativeExpense,income
Selling and Marketing Exp.,MarketingAndAdvertisingExpense,income
Selling and Marketing Exp.,SellingGeneralAndAdministrativeExpenses,income
Selling and Marketing Exp.,OperatingExpenses,income
Selling and Marketing Exp.,GeneralAndAdministrativeExpense,income
Selling and Marketing Exp.,GeneralAndAdministrativeExpenseAndOtherOperatingExpenses,income
Selling and Marketing Exp.,SellingGeneralAndAdministrativeExpensePercent,income
Selling and Marketing Exp.,SellingGeneralAndAdministrativeExpenseOperatingExpenses,income
Selling and Marketing Exp.,SellingAndMarketingExpense,income
Selling and Marketing Exp.,ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,income
Selling and Marketing Exp.,CostOfRevenue,income
Selling and Marketing Exp.,AutomotiveSellingGeneralAndAdministrativeExpense,income
Selling and Marketing Exp.,OtherGeneralAndAdministrativeExpense,income
Selling and Marketing Exp.,ComprehensiveIncomeNetOfTax,income
Selling and Marketing Exp.,WeightedAverageNumberOfDilutedSharesOutstanding,income
Selling and Marketing Exp.,OperatingExpensesOtherThanAmortizationOfDeferredPolicyAcquisitionCosts,income
Selling and Marketing Exp.,StockBasedCompensationSellingGeneralAndAdministrative,income
Selling and Marketing Exp.,OtherSellingGeneralAndAdministrativeExpense,income
Selling and Marketing Exp.,SellingGeneralandAdministrativeExpenseExcludingReceivableImpairment,income
Selling and Marketing Exp.,MarketingExpense,income
Selling and Marketing Exp.,ProfessionalFees,income
Selling and Marketing Exp.,MarketingExpenses,income
Selling and Marketing Exp.,GasGatheringTransportationMarketingAndProcessingCosts,income
Selling and Marketing Exp.,MarketingandBusinessDevelopmentExpense,income
Selling and Marketing Exp.,TechnologyServicesRevenue,income
Selling and Marketing Exp.,ProfessionalAndContractServicesExpense,income
Selling and Marketing Exp.,MarketingAndPromotion,income
