standard,gaap_tag,statement
Total Revenue,Revenues,income
Total Revenue,RevenueFromContractWithCustomerExcludingAssessedTax,income
Total Revenue,SalesRevenueServicesNet,income
Total Revenue,SalesRevenueNet,income
Total Revenue,RegulatedAndUnregulatedOperatingRevenue,income
Total Revenue,ElectricalGenerationRevenue,income
Total Revenue,RevenueFromContractWithCustomerIncludingAssessedTax,income
Total Revenue,OperatingLeasesIncomeStatementLeaseRevenueAndOtherRealEstateRevenue,income
Total Revenue,RealEstateRevenueNet,income
Total Revenue,OilAndGasRevenue,income
Total Revenue,ElectricUtilityRevenue,income
Total Revenue,HealthCareOrganizationRevenue,income
Total Revenue,SalesRevenueServicesGross,income
Total Revenue,FinancialServicesRevenue,income
Total Revenue,SalesRevenueGoodsNet,income
Total Revenue,HealthCareOrganizationPatientServiceRevenueLessProvisionForBadDebts,income
Total Revenue,NetRevenue,income
Total Revenue,RevenueMineralSales,income
Total Revenue,HomeBuildingRevenue,income
Total Revenue,RefiningAndMarketingRevenue,income
Total Revenue,HealthCareOrganizationPatientServiceRevenue,income
Total Revenue,OperatingLeasesIncomeStatementLeaseRevenue,income
Total Revenue,FoodAndBeverageRevenue,income
Total Revenue,RevenuesExcludingInterestAndDividends,income
Total Revenue,TotalRevenuesIncludingRevenueGeneratedByVariableInterestEntities,income
Total Revenue,RevenuesNetOfInterestExpense,income
Total Revenue,InvestmentAdvisoryManagementAndAdministrativeFees,income
Total Revenue,GrossProfit,income
Total Revenue,NetRevenues,income
Total Revenue,RevenuesNet,income
Total Revenue,TotalOperatingRevenue,income
Total Revenue,RegulatedOperatingRevenue,income
Total Revenue,TotalRevenuesAndOtherIncome,income
Total Revenue,RevenuesAndOtherIncome,income
Total Revenue,RevenuesOperatingAndNonoperating,income
Total Revenue,InsuranceServicesRevenue,income
Total Revenue,OperatingRevenue,income
Total Revenue,CostOfGoodsAndServicesSold,income
Total Revenue,OperatingExpenses,income
Total Revenue,EarningsPerShareDiluted,income
Total Revenue,EarningsPerShareBasic,income
Total Revenue,NoninterestExpense,income
Total Revenue,BenefitsLossesAndExpenses,income
Total Revenue,InterestExpense,income
Total Revenue,CostsAndExpenses,income
Total Revenue,NonoperatingIncomeExpense,income
