Description:           Daily Index of EDGAR Dissemination Feed
Last Data Received:    Jan  4, 2012
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
CIK|Company Name|Form Type|Date Filed|File Name
--------------------------------------------------------------------------------
1000232|KENTUCKY BANCSHARES INC /KY/|4|20120104|edgar/data/1000232/0001179110-12-000157.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20120104|edgar/data/1000232/0001179110-12-000158.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20120104|edgar/data/1000232/0001179110-12-000159.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20120104|edgar/data/1000232/0001179110-12-000160.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20120104|edgar/data/1000232/0001179110-12-000161.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20120104|edgar/data/1000232/0001179110-12-000162.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20120104|edgar/data/1000232/0001179110-12-000163.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20120104|edgar/data/1000232/0001179110-12-000164.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20120104|edgar/data/1000232/0001179110-12-000165.txt
1000232|KENTUCKY BANCSHARES INC /KY/|4|20120104|edgar/data/1000232/0001179110-12-000166.txt
1000275|ROYAL BANK OF CANADA \|424B2|20120104|edgar/data/1000275/0001214659-12-000008.txt
1000275|ROYAL BANK OF CANADA \|FWP|20120104|edgar/data/1000275/0001214659-12-000026.txt
1000383|BRONSON STEVEN N|4|20120104|edgar/data/1000383/0001144692-12-000001.txt
1000697|WATERS CORP /DE/|4|20120104|edgar/data/1000697/0001127602-12-000562.txt
1000697|WATERS CORP /DE/|4|20120104|edgar/data/1000697/0001127602-12-000563.txt
1000697|WATERS CORP /DE/|4|20120104|edgar/data/1000697/0001127602-12-000566.txt
1000697|WATERS CORP /DE/|4|20120104|edgar/data/1000697/0001127602-12-000572.txt
1000697|WATERS CORP /DE/|4|20120104|edgar/data/1000697/0001127602-12-000575.txt
